both,english,poly_name,n,n_or_s,l_or_p,notes
上 (Up),Up,上,1,North,Neither,"The map which had this region labeled four regions, ""Up"", ""Down"", ""Upper right"" and ""Upper left"", corresponding to the circles that fell in those locations on the map of China."
下 (Down),Down,下,1,South,Neither,"The map which had this region labeled four regions, ""Up"", ""Down"", ""Upper right"" and ""Upper left"", corresponding to the circles that fell in those locations on the map of China."
上海 (Shanghai),Shanghai,上海,8,South,Place,Shanghai city and province-level municipality. 
东北 (Northeast),Northeast,东北,32,North,Place,"""Northeast"" encompasses the three provinces of Liaoning, Jilin, and Heilongjiang."
中原 (Middle),Middle,中原,3,North,Place,"This region encompasses an area of eastern China provinces immediately south of the Yellow River, and many regard this area as falling under the ""Northern"" category (since a majoriy of it falls north of the Yangtze River), though a small part of this region actually stretches slightly south of the Yangtze River as well."
云南 (Yunnan),Yunnan,云南,8,South,Place,Yunnan province.
兰州 (Lanzhou),Lanzhou,兰州,2,North,Place,"Lanzhou city, the capital of Gansu province."
其他 (Other),Other,其他,1,Neither,Neither,"The map which had this region labeled one of its regions as ""Other""."
内蒙 (Inner Mongolia),Inner Mongolia,内蒙,9,North,Place,Inner Mongolia Autonomous Region.
北京 (Beijing),Beijing,北京,14,North,Place,"Beijing municipality, the capital of China."
华北 (Huabei),Huabei,华北,4,North,Place,"Huabei Mandarin, a term used to describe the Mandarin spoken in Beijing, Tianjin, Hebei, Shanxi and Inner Mongolia."
南京 (Nanjing),Nanjing,南京,1,South,Place,"Nanjing city, the capital of Jiangsu province."
南昌 (Nanchang),Nanchang,南昌,1,South,Place,"Nanchang city, the capital of Jiangxi province."
南方话 (Southern),Southern,南方话,1,South,Place,"Southern Mandarin, used to describe the Mandarin of Southern China (south of the Yangtze River)."
口音和普通话混在一起 (Accent mixed),Accent mixed,口音和普通话混在一起,1,South,Neither,"The full label for this map region was ""口音和普通话混在一起是四川和湖北这一个圈"", which means that an accent was mixed with Putonghua, such as what this participant feels is spoken in Sichuan and Hubei provinces."
台湾 (Taiwan),Taiwan,台湾,6,South,Place,Taiwan (the Republic of China).
台语 (Taiwanese),Taiwanese,台语,2,South,Language,Taiwanese refers to the Hokkien (Southern Min) variety spoken in Taiwan.
右上 (Upper right),Upper right,右上,1,North,Neither,"The map which had this region labeled four regions, ""Up"", ""Down"", ""Upper right"" and ""Upper left"", corresponding to the circles that fell in those locations on the map of China."
吴语 (Wu (Shanghainese)),Wu (Shanghainese),吴语,13,South,Language,"Wu is a group of Sinitic languages, of which Shanghainese is a variety. Here, Wu, Shanghainese, and 上海话 all refer to the Shanghai variety of Wu (Shanghainese). "
四川 (Sichuan),Sichuan,四川,17,South,Place,Sichuan province.
壮话 (Zhuang),Zhuang,壮话,2,South,Language,Zhuang languages refer to the Tai languages spoken by Zhuang people (an ethnic minority in China) of the Guangxi Autonomous Region.
天津 (Tianjin),Tianjin,天津,5,North,Place,Tianjin municipality.
安徽 (Anhui),Anhui,安徽,1,South,Place,Anhui province.
官话 (Guanhua),Guanhua,官话,2,Neither,Place,"""Guanhua"" corresponds closest to the English term ""Mandarin"", which encompasses all regional dialects of Mandarin. Putonghua and Guanhua are not the same; Putonghua refers to ""Standard Mandarin"", while Guanhua refers to a group of dialects. "
客家话 (Hakka),Hakka,客家话,11,South,Language,"Hakka languages, spoke in Guangdong and Fujian provinces, as well as in Taiwan."
少数民族口音的普通话 (Ethnic minority accent),Ethnic minority accent,少数民族口音的普通话,1,Neither,Neither,This map label explicitly stated that this referred to the accents that ethnic minority groups in China have when speaking Mandarin.
少数民族语言 (Ethnic minority language),Ethnic minority language,少数民族语言,1,Neither,Language,Languages spoken by ethnic minority groups in China.
山东 (Shandong),Shandong,山东,12,North,Place,Shandong province.
山西 (Shanxi),Shanxi,山西,3,North,Place,Shanxi province.
左上 (Upper left),Upper left,左上,1,North,Neither,"The map which had this region labeled four regions, ""Up"", ""Down"", ""Upper right"" and ""Upper left"", corresponding to the circles that fell in those locations on the map of China."
广东 (Guangdong),Guangdong,广东,24,South,Place,Guangdong province.
粤语 (Cantonese),Cantonese,粤语,18,South,Language,Cantonese/Yue languages.
广州 (Guangzhou),Guangzhou,广州,2,South,Place,"Guangzhou city, the capital of Guangdong province. Guangzhou is also sometimes known as Canton."
广西 (Guangxi),Guangxi,广西,12,South,Place,Guangxi Autonomous Region.
香港 (Hong Kong),Hong Kong,香港,2,South,Place,Hong Kong.
微语 (Weiyu),Weiyu,微语,1,Neither,Neither,This is not a label that corresponds to anything. I presume that the particpant made a typo.
新疆 (Xinjiang),Xinjiang,新疆,10,Neither,Place,Xinjiang.
晋语 (Jin),Jin,晋语,3,North,Language,"Jin refers to a set of varieties spoken in Hebei, Henan, and Shaanxi provinces, although the linguisitic classification of these varieties is still disputed on whether they classify as Mandarin dialects or a closely related but separate set of dialects. Because of this, I will classify these as ""non-Mandarin"", i.e. separate ""languages"" in my data visualization plots; however, the line between dialect and language is very fuzzy, and many of these categories are often only created for political purposes or vestiges of historical groupings of peoples, so enforcing strict categorical lines is unwise. "
有比较重口音的 (Heavy accent),Heavy accent,有比较重口音的,1,Neither,Neither,"The full label for this map region was ""有比较重口音的：在新疆和西藏那一个圈"", which means that these regions have quite a heavy accent when speaking Mandarin, and the examples given were Xinjiang and Tibet."
西藏 (Tibet),Tibet,西藏,8,Neither,Place,Tibet.
朝鲜话 (North Korean),North Korean,朝鲜话,2,North,Language,"This variety of North Korean is spoken in China by ethnic minority groups in the Northeast provinces of Liaoning, Jilin, and Heilongjiang."
比较标准的 (Close to standard),Close to standard,比较标准的,1,North,Neither,"The full label for this map region was ""比较标准的：吉林，黑龙江，北京"" which means that these regions' accents are close to Standard Mandarin, with the examples of Jilin, Heilongjiang, and Beijing given. "
吉林 (Jilin),Jilin,吉林,2,North,Place,Jilin province.
黑龙江 (Heilongjiang),Heilongjiang,黑龙江,3,North,Place,Heilongjiang province.
江浙 (Jiangzhe),Jiangzhe,江浙,9,South,Place,"Today, Jiangzhe is a term used to refer to the provinces of Jiangsu and Zhejiang. In the past, the term was used to refer to a slightly different region: the part of the east coast of China that is south of the Yangtze River but north of the Qiantang River."
江西 (Jiangxi),Jiangxi,江西,2,South,Place,Jiangxi province.
河北 (Hebei),Hebei,河北,5,North,Place,Hebei province.
河南 (Henan),Henan,河南,12,North,Place,Henan province.
湖北 (Hubei),Hubei,湖北,5,South,Place,Hubei province.
海南 (Hainan),Hainan,海南,3,South,Place,"Hainan province, an island off the southern coast of China."
普通话 (Putonghua),Putonghua,普通话,2,Neither,Place,Putonghua is used to refer to Standard Mandarin here.
湖南 (Hunan),Hunan,湖南,8,South,Place,Hunan province.
湘语 (Xiang),Xiang,湘语,4,South,Language,Xiang languages are a group of Sinitic languages spoken in the Hunan province.
赣语 (Gan),Gan,赣语,4,South,Language,"Gan languages are a group of Sinitic languages spoken in the Jiangxi province, and in some of the surrounding regions as well."
潮汕话 (Teochew) ,Teochew,潮汕话,4,South,Language,Teochew is a Southern Min language/dialect (the line between language and dialect is very fuzzy here) spoken in eastern Guangdong.
甘肃 (Gansu),Gansu,甘肃,4,North,Place,Gansu province.
